ANNUAL,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,YEAR
M,M,M,M,57.7,63.9,71.4,77.7,74.5,71.2,61.1,49,M,1893
M,M,M,M,63.4,68.1,77.6,79.7,79.2,68.9,57.5,M,M,1888
M,M,M,M,65.6,70.2,76.3,79.1,77.9,73.6,59.9,M,M,1886
M,M,M,M,M,65.3,75.7,72.1,74.1,70.6,58.6,49,M,1891
M,M,M,M,M,66.8,78.1,79.7,77.6,71,55.8,M,M,1885
M,M,M,M,M,67.9,77.9,77.4,74.3,71.2,61.2,55.6,M,1890
M,M,M,M,M,69,74.3,78.8,74.3,69.1,57.4,50.9,M,1889
M,M,M,M,M,71.6,77.4,82.1,76.9,70.4,58.7,M,M,1887
M,M,M,M,M,M,72.2,73.6,74.4,67.2,60.4,49.1,M,1892
62.6,46.4,46.9,53.7,60,74.1,78.7,80.1,79.1,72.2,64.5,52.4,43.3,1953
61.9,44.2,49,50.8,64.5,64.7,77.3,81.2,81,77,64,47.7,41.2,1954
61.1,42.5,45.3,52.9,64.6,71.4,71.8,79.3,79.7,73.4,60.6,50.3,40.9,1955
61.3,40.9,47.4,51.5,59,69.9,76,78.4,79,69.4,62.1,49.5,52.7,1956
61.6,43.5,49.9,50.2,63.8,70.2,76.8,79.5,77.6,72.4,57.3,52.8,44.9,1957
59.4,37.4,36.9,46.6,60,70.1,76.1,79,78.5,71.6,60.3,55.7,41,1958
61,41.5,45.8,49.6,61.4,70.6,76.1,78.3,79.8,71.7,62.5,50.4,44.3,1959
60.2,42.8,42.4,40.2,62.7,67.3,77.2,79.5,79.8,73.3,64.6,52.5,39.6,1960
60.9,39.6,47.6,54.9,56.4,65.7,74.2,78.3,76.8,74.9,62.3,56.5,43.5,1961
61.6,41.2,49,49,58.9,76.5,76.3,80.3,78.6,71.9,64.4,51.4,41.6,1962
60.2,39.7,39.1,55.4,64,69.1,74.9,77.5,78.5,70.5,64.1,52.7,36.4,1963
60.8,41.7,40.7,51.9,61.1,71.3,77.6,77.5,76.6,72.4,57.8,55.9,45.3,1964
60.6,42.8,44.2,47.8,61.7,73,72.7,77.5,78.1,72.3,59.6,52.3,44.9,1965
58.8,36.4,42.7,50.1,59,66.9,74.2,77.9,75.6,69.9,58.7,51.6,43,1966
59.7,44,41,56.5,64.5,66,72.6,75.2,74.2,66.8,59.7,48.2,47.2,1967
58.7,38.9,38.3,53.3,60.1,65.4,74.2,77,78.7,69.8,60.8,49.5,38.9,1968
58.9,39.5,40.9,45.8,60.7,67.6,76.3,80.6,74.5,69.8,60.9,48.8,41.4,1969
60.4,35.4,43.3,51.7,63.3,68.8,75.2,79.3,76.9,74.8,63,48.7,44.7,1970
59.8,39.5,41.8,46.3,59.1,65.2,76.2,76.6,75.8,72.9,64.9,48.9,50.4,1971
59.5,44.6,40.9,50.7,59.5,64.9,70.9,77,76.2,73,59.1,49.2,48.1,1972
60,41.1,42,54.5,57.8,65.8,74.6,78.1,76.9,74.4,61.8,51.8,41.8,1973
60.6,51.3,43.9,55.9,58.8,68,72.2,78,77.2,69.8,58.8,49.6,43.4,1974
60.6,45.7,46.8,48.4,58.7,70.5,74.4,76.5,78.5,70,62.6,52.9,42.7,1975
58.1,38,50.6,54,59.2,63.3,71.3,77.2,75.2,68.5,55.5,44.5,39.9,1976
60.9,30.7,42.4,54.5,62.4,71.4,77.5,81.8,78.7,74.4,59.8,54.7,42.8,1977
59.3,35.2,36.7,49.1,60.8,65.5,75.4,77.8,77.8,73.9,60.4,55.6,43.5,1978
59.4,37.3,39.2,54.2,61.4,69.6,71.9,74.7,76.6,70.5,59.2,52.7,45.4,1979
59.7,43.9,39.3,47.6,59,68.2,74.5,81.5,79.4,73.5,57.3,49.3,43.4,1980
59.5,38,43.2,49.1,64.2,66.2,80.3,80.1,75.3,69.2,57.9,50.7,39.2,1981
60.1,36.1,45.7,53.2,56.6,70.6,74.2,77.6,75.2,69.8,60.9,52.7,48.2,1982
58.6,39.1,42.1,51.4,54.6,66.3,73.1,79.7,79.5,69,59.4,49.2,39.2,1983
60.1,38.8,45.6,50.2,56.2,66.8,77.7,75.5,76.3,69,67.5,47.8,50.1,1984
60.4,36.2,44.6,54.2,61.8,67.9,76.7,76.4,75.1,69.6,64.3,58.6,38.9,1985
61.5,39.6,47.7,52.3,61.6,68.9,78.6,83,76,72.6,61.9,52.9,42.8,1986
60.3,39.5,43,50.5,58.3,71.1,76.5,80.4,79.8,71.3,55.2,52.9,45.5,1987
59.3,36,42,51.4,59.2,67.1,75.3,78.5,80.4,70.9,55.3,52.3,43,1988
59.8,45.7,45.4,52.9,58.6,64.4,75.4,78.3,76.8,70.3,61.6,50.8,36.9,1989
62.3,46.5,50.6,54.6,59,67,76.3,78.7,78.5,72.1,62,54,48,1990
61.5,41.8,46.4,53.5,62.1,71.5,75.2,80.5,76.6,71.8,61.6,49.2,47.4,1991
59.3,43.9,48,50.9,59.2,64,71.9,79.5,74.2,70.7,57.5,49.6,41.7,1992
59.8,44.2,41.9,46.8,55.6,67.3,76.2,83.2,78.8,71.9,60.2,50.4,41.4,1993
60,36.7,44.8,52.9,61.8,65.2,76.7,77,75.6,69.1,59.5,53.7,47.4,1994
60.6,42,42.2,54.5,62.3,69.6,74.9,82,80.4,70.8,61.4,46.8,40.9,1995
